Commercial Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hanwha Q-Cell 475W Module,,Model,Q.PEAK DUO BLK-G6+ 340,Q.PEAK DUO XL G10 475W,Note: These modules have a white back sheet. We may have 400W black on black panels in stock.,,,,,For 3-Phase systems add $500 for oversized inverter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.85,,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,,,,,,,,,,,,,,,,,,,,
Annual Production/PV module,520,619,520,619,619,619,619,619,619,619,619,619,619,619,619,619,619,619,619,619,619,619,619,619,619,619,619,619,619,619,619,619,619,619,,,,,,,,,,,,,,,,,,,,
Inverter Model Single Phase,,SE7600H-US,SE9KUS,SE10000H-US,SE6000H-US,SE11400H-US,SE6000H-US,SE11400H-US,SE6000H-US,SE11400H-US,SE6000H-US,SE11400H-US,SE6000H-US,SE11400H-US,SE6000H-US,SE7600H-US X2,SE6000H-US,SE7600H-US X2,SE6000H-US,SE7600H-US X2,SE6000H-US,SE7600H-US X2,SE7600H-US X2,SE7600H-US X2,SE7600H-US X2,SE10000H-US X2,SE7600H-US X2,SE10000H-US X2,SE6000H-US,SE10000H-US X2,SE7600H-US X2,SE10000H-US X2,SE6000H-US,SE10000H-US X2,,,,,,,,,,,,,,,,,,,,
Inverter Model 3-Phase 208V,,n/a,SE9KUS,SE9KUS,SE9KUS,SE14.4KUS,SE9KUS,SE14.4KUS,SE9KUS,SE14.4KUS,SE9KUS,SE14.4KUS,SE9KUS,SE14.4KUS,SE14.4KUS,SE9KUS X2,SE9KUS,SE9KUS X2,SE14.4KUS,SE9KUS X2,SE14.4KUS,SE14.4KUS X2,SE14.4KUS,SE14.4KUS X2,SE14.4KUS,SE14.4KUS X2,SE14.4KUS,SE14.4KUS X2,SE14.4KUS,SE14.4KUS X2,SE9KUS X2,SE14.4KUS X2,SE9KUS X2,SE14.4KUS X2,,,,,,,,,,,,,,,,,,,,
PV Module Power (Watts),340,475,475,475,475,475,475,475,475,475,475,475,475,475,475,475,475,475,475,475,475,475,475,475,475,475,475,475,475,475,475,475,395,475,,,,,,,,,,,,,,,,,,,,
Optimizer Model,P700,P860,P700,P860,P860,P860,P860,P860,P860,P860,P860,P860,P860,P860,P860,P860,P860,P860,P860,P860,P860,P860,P860,P860,P860,P860,P860,P860,P860,P860,P860,P860,P860,P860,,,,,,,,,,,,,,,,,,,,
Qty. PV Modules,1,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,,,,,,,,,,,,,,,,,,,,
System Size (Watts),340,7600,8075,8550,9025,9500,9975,10450,10925,11400,11875,12350,12825,13300,13775,14250,14725,15200,15675,16150,16625,17100,17575,18050,18525,19000,19475,19950,20425,20900,21375,21850,18565,22800,,,,,,,,,,,,,,,,,,,,
Annual Production (kWh),520,9904,8840,11142,11761,12380,12999,13618,14237,14856,15475,16094,16713,17332,17951,18570,19189,19808,20427,21046,21665,22284,22903,23522,24141,24760,25379,25998,26617,27236,27855,28474,29093,29712,,,,,,,,,,,,,,,,,,,,
,,6460,0,7268,7671,8075,8479,8883,9286,9690,10094,10498,10901,11305,11709,12113,12516,12920,13324,13728,14131,14535,14939,15343,15746,16150,16554,16958,17361,17765,18169,18573,15780,19380,,,,,,,,,,,,,,,,,,,,
Residential Steep Roof Above 7:12 pitch Adder up to 20 PV modules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residential Steep Roof Above 7:12 pitch Adder 20 to 40 PV modules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hardware,,"$10,521.56","$11,436.46","$11,663.70","$12,598.47","$12,767.39","$13,721.87","$13,832.62","$14,806.65","$14,859.40","$15,852.80","$15,847.72","$16,860.33","$16,797.58","$17,829.25","$17,708.99","$18,759.54","$18,643.47","$19,651.21","$19,416.43","$20,458.59","$20,143.25","$21,289.72","$20,896.99","$22,013.08","$21,919.92","$22,692.60","$22,531.37","$23,328.27","$23,096.67","$22,929.39","$23,969.62","$19,614.44","$24,827.19",,,,,,,,,,,,,,,,,,,,
Sales Tax,,"$2,287.30","$2,486.19","$2,535.59","$2,738.80","$2,775.52","$2,983.02","$3,007.09","$3,218.84","$3,230.30","$3,446.26","$3,445.16","$3,665.29","$3,651.65","$3,875.92","$3,849.78","$4,078.16","$4,052.93","$4,272.00","$4,220.96","$4,447.52","$4,378.97","$4,628.20","$4,542.82","$4,785.45","$4,765.20","$4,933.17","$4,898.12","$5,071.36","$5,021.02","$4,984.65","$5,210.79","$4,264.01","$5,397.22",,,,,,,,,,,,,,,,,,,,
Services & Labor,,"$15,782.34","$17,154.69","$17,495.56","$18,897.71","$19,151.09","$20,582.80","$20,748.93","$22,209.97","$22,289.10","$23,779.20","$23,771.58","$25,290.50","$25,196.37","$26,743.87","$26,563.48","$28,139.31","$27,965.20","$29,476.81","$29,124.65","$30,687.89","$30,214.88","$31,934.58","$31,345.49","$33,019.62","$32,879.88","$34,038.90","$33,797.06","$34,992.41","$34,645.01","$34,394.09","$35,954.44","$29,421.66","$37,240.79",,,,,,,,,,,,,,,,,,,,
Total Cost of PV System,,"$28,591.20","$31,077.33","$31,694.85","$34,234.98","$34,694.00","$37,287.69","$37,588.65","$40,235.45","$40,378.80","$43,078.26","$43,064.45","$45,816.12","$45,645.60","$48,449.04","$48,122.25","$50,977.00","$50,661.60","$53,400.02","$52,762.05","$55,594.00","$54,737.10","$57,852.51","$56,785.30","$59,818.15","$59,565.00","$61,664.67","$61,226.55","$63,392.05","$62,762.70","$62,308.13","$65,134.85","$53,300.12","$67,465.20",,,,,,,,,,,,,,,,,,,,
