Residential Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hanwah Q-Cell 415W Module,Model,Q.PEAK DUO ML-G10+ 415,,,Note: These modules have a white back sheet. We may have 400W black on black panels in stock.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,,,,,,,,,,,,,,,,,,,
Annual Production/PV module,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,,,,,,,,,,,,,,,,,,,
Inverter Model,IQ8,IQ8,IQ8,SE5000H-US,SE5000H-US,SE6000H-US,SE7600H-US,SE7600H-US,SE10000H-US,SE10000H-US,SE10000H-US,SE10000H-US,SE11400H-US,SE11400H-US,2x SE7600-US,2x SE7600-US,2x SE7600-US,,,,,,,,,,,,,,,,,,,
PV Module Power (Watts),415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,,,,,,,,,,,,,,,,,,,
Optimizer Model,n/a,n/a,n/a,S440,S440,S440,S440,S440,S440,S440,S440,S440,S440,S440,S440,S440,S440,,,,,,,,,,,,,,,,,,,
Qty. PV Modules,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,,,,,,,,,,,,,,,,,,,
System Size (Watts),2490,3320,4150,4980,5810,6640,7470,8300,9130,9960,10790,11620,12450,13280,14110,14940,15770,,,,,,,,,,,,,,,,,,,
Annual Production (kWh),3816,5088,6360,7632,8904,10176,11448,12720,13992,15264,16536,17808,19080,20352,21624,22896,24168,,,,,,,,,,,,,,,,,,,
Pricing w/o Permit Fees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hardware,"$5,463.10","$6,813.76","$7,811.63","$8,366.00","$9,125.33","$9,945.13","$10,946.36","$11,961.03","$12,898.43","$13,788.78","$14,719.46","$15,757.65","$16,832.80","$17,148.62","$17,934.83","$18,808.38","$19,725.62",,,,,,,,,,,,,,,,,,,
